epoch,accuracy,loss,val_accuracy,val_loss
0,0.3634099066257477,1.3295669555664062,0.4438040256500244,1.285212755203247
1,0.641572117805481,1.001376748085022,0.6858789920806885,0.9263886213302612
2,0.7902020215988159,0.5839065909385681,0.6974063515663147,0.7722240686416626
3,0.8474951386451721,0.4151628017425537,0.7089337110519409,0.7662545442581177
4,0.8837531208992004,0.327765554189682,0.7002881765365601,0.8349002599716187
5,0.9108774065971375,0.26537221670150757,0.6858789920806885,0.9030550718307495
6,0.924162745475769,0.220772385597229,0.7031700015068054,0.9711560606956482
7,0.9377248883247375,0.18519093096256256,0.6829971075057983,0.9620788097381592
8,0.9543315768241882,0.15031985938549042,0.6685879230499268,1.0282950401306152
9,0.9593135714530945,0.13291265070438385,0.6657060384750366,1.0963135957717896
10,0.9651259183883667,0.11551307886838913,0.6743515729904175,1.184449553489685
11,0.9703847169876099,0.10629864782094955,0.6772334575653076,1.2040404081344604
12,0.9695543646812439,0.0974484533071518,0.6685879230499268,1.2199407815933228
13,0.9739828109741211,0.08906900882720947,0.6685879230499268,1.3333067893981934
14,0.973429262638092,0.08678022027015686,0.6743515729904175,1.3415976762771606
15,0.9712150692939758,0.08354536443948746,0.6858789920806885,1.3328081369400024
16,0.9759202599525452,0.0745619386434555,0.6829971075057983,1.4233309030532837
17,0.9753667116165161,0.07411101460456848,0.6685879230499268,1.4259799718856812
18,0.976473867893219,0.0676848441362381,0.6628242135047913,1.4866454601287842
19,0.9773041605949402,0.06612095981836319,0.6887608170509338,1.4462881088256836
20,0.9761970639228821,0.06375275552272797,0.6570605039596558,1.4727177619934082
21,0.9781345129013062,0.06341005116701126,0.6657060384750366,1.5391236543655396
22,0.9781345129013062,0.061456725001335144,0.680115282535553,1.5674269199371338
23,0.9775809645652771,0.059762872755527496,0.6858789920806885,1.5338908433914185
24,0.9786880612373352,0.05815489590167999,0.6945244669914246,1.5693780183792114
